country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Italy,1860,ITA,26026734.0,66205859840.0,,,0.029,,,22.35,,,0.859,0.338,,0.001,0.0,,0.029,0.001,,,,,0.029,22.35,0.029,,0.0,295.997,0.0,,,,,,0.0,0.0,0.292,1.043,22.32,0.858,17.215,0.661,1.867,0.072,0.0,0.0,,,,,0.009,0.718,0.009,,0.0,0.065,0.0,,,0.933,0.0,,,,0.803,0.0,,0.571,0.0,0.0,0.0,0.0,27.154,7.605,,
Italy,1861,ITA,26192723.0,67144941568.0,,,0.671,0.641,2187.5,21.625,-0.725,-3.242,0.826,0.322,,0.026,0.01,,0.671,0.026,,,,,0.7,43.975,0.7,,0.0,316.952,0.0,,,,,,0.0,0.0,0.316,1.06,20.954,0.8,17.264,0.659,1.876,0.072,0.0,0.0,,,,,0.192,0.694,0.193,,0.009,0.117,0.009,,,0.919,0.0,,,,0.757,0.0,,0.568,0.0,0.0,0.0,0.0,27.77,8.281,,
Italy,1862,ITA,26361247.0,69594324992.0,,,1.227,0.557,83.06,21.165,-0.46,-2.129,0.803,0.304,,0.047,0.018,,1.227,0.047,,,,,1.927,65.139,1.927,,0.0,336.889,0.0,,,,,,0.0,0.0,0.336,1.075,19.937,0.756,17.311,0.657,1.884,0.071,0.0,0.0,,,,,0.345,0.684,0.346,,0.024,0.16,0.024,,,0.905,0.0,,,,0.728,0.0,,0.565,0.0,0.0,0.0,0.0,28.328,8.869,,
Italy,1863,ITA,26532332.0,71530733568.0,,,1.07,-0.158,-12.836,18.357,-2.808,-13.265,0.692,0.257,,0.04,0.015,,1.07,0.04,,,,,2.997,83.496,2.997,,0.0,354.176,0.0,,,,,,0.0,0.0,0.329,0.994,17.287,0.652,17.346,0.654,1.892,0.071,0.0,0.0,,,,,0.282,0.595,0.283,,0.035,0.19,0.035,,,0.887,0.0,,,,0.639,0.0,,0.56,0.0,0.0,0.0,0.0,26.369,8.731,,
Italy,1864,ITA,26704525.0,70843465728.0,,,1.605,0.535,50.0,17.008,-1.349,-7.35,0.637,0.24,,0.06,0.023,,1.601,0.06,,,,,4.602,100.504,4.598,,0.0,369.579,0.004,,,,,,0.0,0.0,0.348,0.965,15.403,0.577,17.397,0.651,1.899,0.071,0.004,0.0,,,,,0.392,0.562,0.392,,0.052,0.214,0.052,,,0.868,0.07,,,,0.588,0.33,,0.554,0.0,0.0,0.0,0.0,25.772,9.301,,
Italy,1865,ITA,26877835.0,75131478016.0,,,1.271,-0.333,-20.776,15.949,-1.058,-6.223,0.593,0.212,,0.047,0.017,,1.246,0.046,,,,,5.873,116.453,5.844,,0.0,384.257,0.029,,,,,,0.0,0.0,0.334,0.944,14.678,0.546,17.428,0.648,1.906,0.071,0.026,0.001,,,,,0.292,0.531,0.287,,0.063,0.233,0.063,,,0.851,0.445,,,,0.571,1.943,,0.548,0.0,0.0,0.0,0.0,25.363,8.984,,
Italy,1866,ITA,27052267.0,70545899520.0,,,1.477,0.205,16.138,14.998,-0.951,-5.964,0.554,0.213,,0.055,0.021,,1.44,0.053,,,,,7.35,131.452,7.284,,0.0,397.779,0.066,,,,,,0.0,0.0,0.341,0.925,13.522,0.5,17.48,0.646,1.914,0.071,0.037,0.001,,,,,0.329,0.491,0.322,,0.075,0.248,0.075,,,0.833,0.773,,,,0.518,1.877,,0.541,0.0,0.0,0.0,0.0,25.012,9.226,,
Italy,1867,ITA,27227831.0,71578656768.0,,,1.469,-0.007,-0.496,14.973,-0.025,-0.165,0.55,0.209,,0.054,0.021,,1.411,0.052,,,,,8.819,146.425,8.695,,0.0,411.283,0.125,,,,,,0.0,0.0,0.339,0.937,13.504,0.496,17.512,0.643,1.921,0.071,0.059,0.002,,,,,0.306,0.491,0.295,,0.086,0.262,0.085,,,0.817,1.184,,,,0.525,2.953,,0.535,0.0,0.0,0.0,0.0,25.514,9.235,,
Italy,1868,ITA,27404532.0,72236113920.0,,,1.696,0.227,15.461,14.835,-0.138,-0.924,0.541,0.205,,0.062,0.023,,1.59,0.058,,,,,10.516,161.26,10.285,,0.0,424.421,0.231,,,,,,0.0,0.0,0.346,0.943,13.139,0.479,17.535,0.64,1.929,0.07,0.106,0.004,,,,,0.343,0.489,0.323,,0.098,0.273,0.096,,,0.803,1.802,,,,0.518,4.642,,0.531,0.0,0.0,0.0,0.0,25.845,9.47,,
Italy,1869,ITA,27576990.0,74622304256.0,,,1.872,0.176,10.367,13.969,-0.866,-5.84,0.507,0.187,,0.068,0.025,,1.781,0.065,,,,,12.388,175.229,12.066,,0.0,436.518,0.322,,,,,,0.0,0.0,0.351,0.922,12.096,0.439,17.573,0.637,1.937,0.07,0.092,0.003,,,,,0.357,0.449,0.341,,0.11,0.282,0.107,,,0.787,2.091,,,,0.468,3.504,,0.525,0.0,0.0,0.0,0.0,25.419,9.669,,
Italy,1870,ITA,27745148.0,78821548032.0,,,2.678,0.806,43.053,17.015,3.046,21.809,0.613,0.216,,0.097,0.034,,2.557,0.092,,,,,15.066,192.244,14.623,,0.0,450.854,0.443,,,,,,0.0,0.0,0.379,0.932,14.337,0.517,17.629,0.635,1.946,0.07,0.121,0.004,,,,,0.5,0.505,0.48,,0.128,0.293,0.124,,,0.774,2.389,,,,0.506,3.859,,0.519,0.0,0.0,0.0,0.0,25.871,10.515,,
Italy,1871,ITA,27908950.0,78888460288.0,,,2.308,-0.37,-13.817,19.394,2.379,13.979,0.695,0.246,,0.083,0.029,,2.176,0.078,,,,,17.375,211.637,16.799,,0.0,467.94,0.575,,,,,,0.0,0.0,0.364,0.981,17.085,0.612,17.701,0.634,1.972,0.071,0.132,0.005,,,,,0.405,0.566,0.384,,0.14,0.307,0.136,,,0.766,2.634,,,,0.599,4.019,,0.514,0.0,0.0,0.0,0.0,27.389,10.16,,
Italy,1872,ITA,28068339.0,73208168448.0,,,2.975,0.667,28.889,22.005,2.611,13.465,0.784,0.301,,0.106,0.041,,2.847,0.101,,,,,20.35,233.642,19.646,,0.0,486.969,0.704,,,,,,0.0,0.0,0.387,1.049,19.03,0.678,17.795,0.634,2.027,0.072,0.128,0.005,,,,,0.472,0.597,0.454,,0.156,0.322,0.151,,,0.759,2.756,,,,0.623,3.472,,0.51,0.0,0.0,0.0,0.0,29.443,10.869,,
Italy,1873,ITA,28223256.0,73266847744.0,,,2.77,-0.205,-6.897,22.292,0.287,1.302,0.79,0.304,,0.098,0.038,,2.664,0.094,,,,,23.12,255.934,22.31,,0.0,506.491,0.81,,,,,,0.0,0.0,0.379,1.038,19.522,0.692,17.865,0.633,2.105,0.075,0.106,0.004,,,,,0.413,0.611,0.401,,0.169,0.336,0.164,,,0.754,2.595,,,,0.655,1.874,,0.506,0.0,0.0,0.0,0.0,29.291,10.686,,
Italy,1874,ITA,28379027.0,77391077376.0,,,2.997,0.227,8.201,22.182,-0.11,-0.492,0.782,0.287,,0.106,0.039,,2.862,0.101,,,,,26.117,278.116,25.172,,0.0,525.676,0.945,,,,,,0.0,0.0,0.386,1.016,19.185,0.676,17.937,0.632,2.198,0.077,0.136,0.005,,,,,0.477,0.583,0.46,,0.183,0.347,0.176,,,0.747,2.525,,,,0.604,2.172,,0.501,0.0,0.0,0.0,0.0,28.846,10.941,,
Italy,1875,ITA,28535657.0,78074011648.0,,,3.067,0.07,2.323,23.945,1.763,7.95,0.839,0.307,,0.107,0.039,,2.928,0.103,,,,,29.184,302.061,28.099,,0.0,546.554,1.085,,,,,,0.0,0.0,0.387,1.064,20.878,0.732,18.006,0.631,2.301,0.081,0.139,0.005,,,,,0.45,0.607,0.434,,0.195,0.36,0.188,,,0.743,2.506,,,,0.64,2.386,,0.497,0.0,0.0,0.0,0.0,30.356,11.037,,
Italy,1876,ITA,28693149.0,76764094464.0,,,4.107,1.041,33.931,26.321,2.376,9.924,0.917,0.343,,0.143,0.054,,3.972,0.138,,,,,33.291,328.383,32.071,,0.0,568.768,1.22,,,,,,0.0,0.0,0.423,1.135,22.214,0.774,18.104,0.631,2.405,0.084,0.136,0.005,,,,,0.595,0.662,0.581,,0.212,0.373,0.205,,,0.74,2.449,,,,0.677,2.074,,0.495,0.0,0.0,0.0,0.0,32.568,12.134,,
Italy,1877,ITA,28851509.0,77841424384.0,,,3.803,-0.304,-7.404,26.227,-0.095,-0.36,0.909,0.337,,0.132,0.049,,3.649,0.126,,,,,37.094,354.609,35.72,,0.0,591.192,1.374,,,,,,0.0,0.0,0.411,1.12,22.423,0.777,18.176,0.63,2.505,0.087,0.154,0.005,,,,,0.54,0.675,0.525,,0.226,0.386,0.219,,,0.738,2.343,,,,0.705,1.744,,0.494,0.0,0.0,0.0,0.0,32.324,11.858,,
Italy,1878,ITA,29010741.0,80296738816.0,,,3.785,-0.018,-0.482,26.854,0.627,2.392,0.926,0.334,,0.13,0.047,,3.638,0.125,,,,,40.879,381.463,39.359,,0.0,614.261,1.521,,,,,,0.0,0.0,0.409,1.132,23.069,0.795,18.245,0.629,2.593,0.089,0.147,0.005,,,,,0.533,0.674,0.52,,0.239,0.398,0.231,,,0.737,2.214,,,,0.704,1.46,,0.492,0.0,0.0,0.0,0.0,32.831,11.864,,
Italy,1879,ITA,29178818.0,81007026176.0,,,4.356,0.572,15.102,27.062,0.208,0.774,0.927,0.334,,0.149,0.054,,4.177,0.143,,,,,45.236,408.526,43.535,,0.0,636.967,1.7,,,,,,0.0,0.0,0.427,1.129,22.706,0.778,18.325,0.628,2.664,0.091,0.18,0.006,,,,,0.573,0.672,0.559,,0.253,0.409,0.245,,,0.735,2.09,,,,0.694,1.419,,0.49,0.0,0.0,0.0,0.0,32.949,12.466,,
Italy,1880,ITA,29355842.0,82577063936.0,,,5.067,0.711,16.316,28.364,1.302,4.81,0.966,0.343,,0.173,0.061,,4.888,0.167,,,,,50.303,436.889,48.423,,0.0,660.263,1.88,,,,,,0.0,0.0,0.449,1.14,23.297,0.794,18.396,0.627,2.709,0.092,0.18,0.006,,,,,0.591,0.669,0.58,,0.269,0.42,0.26,,,0.734,1.944,,,,0.689,1.169,,0.487,0.0,0.0,0.0,0.0,33.459,13.195,,
Italy,1881,ITA,29541914.0,85455355904.0,,,5.958,0.89,17.57,31.194,2.83,9.977,1.056,0.365,,0.202,0.07,,5.774,0.195,,,,,56.261,468.083,54.197,,0.0,685.5,2.063,,,,,,0.0,0.0,0.478,1.216,25.236,0.854,18.496,0.626,2.738,0.093,0.183,0.006,,,,,0.671,0.731,0.663,,0.287,0.432,0.278,,,0.734,1.811,,,,0.747,1.063,,0.486,0.0,0.0,0.0,0.0,35.936,14.115,,
Italy,1882,ITA,29737139.0,87152672768.0,,,6.273,0.315,5.289,32.914,1.72,5.513,1.107,0.378,,0.211,0.072,,6.086,0.205,,,,,62.533,500.997,60.283,,0.0,712.14,2.25,,,,,,0.0,0.0,0.486,1.257,26.641,0.896,18.598,0.625,2.763,0.093,0.187,0.006,,,,,0.669,0.732,0.662,,0.305,0.444,0.296,,0.0,0.735,1.693,,,0.0,0.749,0.987,,0.486,0.0,0.0,0.0,0.0,37.388,14.46,,
Italy,1883,ITA,29941621.0,88592449536.0,,,6.646,0.374,5.958,32.813,-0.101,-0.306,1.096,0.37,,0.222,0.075,,6.449,0.215,,,,,69.18,533.81,66.732,,0.0,738.307,2.448,,,,,,0.0,0.0,0.496,1.238,26.167,0.874,18.699,0.625,2.785,0.093,0.198,0.007,,,,,0.666,0.733,0.658,,0.321,0.455,0.312,,0.0,0.735,1.639,,,0.0,0.752,1.199,,0.485,0.0,0.0,0.0,0.0,37.067,14.863,,
Italy,1884,ITA,30147508.0,88000667648.0,,,7.361,0.714,10.75,33.451,0.638,1.945,1.11,0.38,,0.244,0.084,,7.134,0.237,,,,,76.541,567.261,73.866,,0.0,764.397,2.675,,,,,,0.0,0.0,0.518,1.245,26.09,0.865,18.812,0.624,2.805,0.093,0.227,0.008,,,,,0.729,0.721,0.721,,0.34,0.465,0.33,,0.0,0.735,1.595,,,0.0,0.718,1.24,,0.484,0.0,0.0,0.0,0.0,37.542,15.618,,
Italy,1885,ITA,30354809.0,90124001280.0,,,8.376,1.015,13.788,35.457,2.006,5.997,1.168,0.393,,0.276,0.093,,8.09,0.267,,,,,84.917,602.719,81.956,,0.0,791.479,2.961,,,,,,0.0,0.0,0.55,1.299,27.081,0.892,18.936,0.624,2.823,0.093,0.286,0.009,,,,,0.823,0.763,0.814,,0.36,0.476,0.351,,0.0,0.735,1.586,,,0.0,0.746,1.507,,0.485,0.0,0.0,0.0,0.0,39.423,16.684,,
Italy,1886,ITA,30563534.0,92725288960.0,,,8.328,-0.048,-0.569,35.658,0.201,0.567,1.167,0.385,,0.272,0.09,,8.108,0.265,,,,,93.245,638.377,90.064,,0.0,818.809,3.181,,,,,,0.0,0.0,0.545,1.292,27.33,0.894,19.022,0.622,2.841,0.093,0.22,0.007,,,,,0.807,0.779,0.808,,0.379,0.486,0.37,,0.0,0.736,1.526,,,0.0,0.771,1.008,,0.486,0.0,0.0,0.0,0.0,39.494,16.65,,
Italy,1887,ITA,30773692.0,95661965312.0,,,10.149,1.821,21.865,38.994,3.335,9.354,1.267,0.408,,0.33,0.106,,9.915,0.322,,,,,103.394,677.371,99.979,,0.0,847.653,3.415,,,,,,0.0,0.0,0.602,1.39,28.844,0.937,19.147,0.622,2.859,0.093,0.234,0.008,,,,,0.937,0.817,0.946,,0.403,0.498,0.393,,0.0,0.738,1.472,,,0.0,0.781,0.998,,0.488,0.0,0.0,0.0,0.0,42.774,18.523,,
Italy,1888,ITA,30985293.0,95759794176.0,,,10.897,0.747,7.365,40.777,1.783,4.572,1.316,0.426,,0.352,0.114,,10.681,0.345,,,,,114.291,718.147,110.66,,0.0,877.533,3.631,,,,,,0.0,0.0,0.623,1.436,29.88,0.964,19.247,0.621,2.878,0.093,0.216,0.007,,,,,0.907,0.855,0.921,,0.425,0.51,0.416,,0.0,0.741,1.415,,,0.0,0.838,0.879,,0.49,0.0,0.0,0.0,0.0,44.504,19.298,,
Italy,1889,ITA,31191675.0,93491429376.0,,,11.256,0.359,3.295,41.17,0.394,0.966,1.32,0.44,,0.361,0.12,,11.04,0.354,,,,,125.547,759.317,121.699,,0.0,907.447,3.848,,,,,,0.0,0.0,0.631,1.439,29.914,0.959,19.343,0.62,2.898,0.093,0.216,0.007,,,,,0.937,0.844,0.951,,0.447,0.521,0.439,,0.0,0.743,1.35,,,0.0,0.813,0.761,,0.493,0.0,0.0,0.0,0.0,44.883,19.68,,
Italy,1890,ITA,31392763.0,94281744384.0,,,12.208,0.953,8.464,39.598,-1.573,-3.82,1.261,0.42,,0.389,0.129,,11.989,0.382,,,,,137.755,798.915,133.688,,0.0,934.836,4.068,,,,,,0.0,0.0,0.66,1.393,27.389,0.872,19.453,0.62,2.751,0.088,0.22,0.007,,,,,0.934,0.753,0.951,,0.469,0.529,0.461,,0.0,0.741,1.273,,,0.0,0.693,0.635,,0.493,0.0,0.0,0.0,0.0,43.716,20.705,,
Italy,1891,ITA,31588484.0,96122486784.0,,,10.999,-1.209,-9.904,39.957,0.359,0.908,1.265,0.416,,0.348,0.114,,10.732,0.34,,,,,148.755,838.872,144.42,,0.0,963.794,4.335,,,,,,0.0,0.0,0.617,1.408,28.958,0.917,19.502,0.617,2.965,0.094,0.267,0.008,,,,,0.804,0.723,0.814,,0.484,0.536,0.476,,0.0,0.74,1.203,,,0.0,0.696,0.655,,0.494,0.0,0.0,0.0,0.0,44.484,19.484,,
Italy,1892,ITA,31778763.0,96818544640.0,,,10.889,-0.11,-0.999,40.893,0.935,2.341,1.287,0.422,,0.343,0.112,,10.622,0.334,,,,,159.644,879.764,155.042,,0.0,993.797,4.602,,,,,,0.0,0.0,0.61,1.442,30.003,0.944,19.577,0.616,3.168,0.1,0.267,0.008,,,,,0.789,0.746,0.798,,0.497,0.543,0.49,,0.0,0.74,1.149,,,0.0,0.731,0.665,,0.494,0.0,0.0,0.0,0.0,45.82,19.389,,
Italy,1893,ITA,31963526.0,98976391168.0,,,10.523,-0.366,-3.365,40.036,-0.857,-2.095,1.253,0.404,,0.329,0.106,,10.234,0.32,,,,,170.167,919.8,165.275,,0.0,1023.31,4.892,,,,,,0.0,0.0,0.596,1.418,29.513,0.923,19.648,0.615,3.357,0.105,0.289,0.009,,,,,0.772,0.708,0.78,,0.508,0.549,0.501,,0.0,0.738,1.104,,,0.0,0.688,0.68,,0.495,0.0,0.0,0.001,0.0,45.338,19.034,,
Italy,1894,ITA,32149360.0,100172554240.0,,,13.062,2.539,24.13,40.938,0.903,2.254,1.273,0.409,,0.406,0.13,,12.776,0.397,,,,,183.229,960.739,178.052,,0.0,1051.186,5.178,,,,,,0.0,0.0,0.673,1.452,27.876,0.867,19.785,0.615,3.53,0.11,0.286,0.009,,,,,0.925,0.716,0.937,,0.525,0.554,0.519,,0.0,0.735,1.068,,,0.0,0.648,0.685,,0.495,0.0,0.0,0.001,0.0,46.666,21.652,,
Italy,1895,ITA,32336274.0,101564719104.0,,,12.022,-1.041,-7.966,41.405,0.466,1.139,1.28,0.408,,0.372,0.118,,11.754,0.363,,,,,195.251,1002.144,189.806,,0.0,1080.57,5.445,,,,,,0.0,0.0,0.637,1.468,29.383,0.909,19.835,0.613,3.686,0.114,0.267,0.008,,,,,0.804,0.713,0.816,,0.536,0.56,0.531,,0.0,0.734,1.021,,,0.0,0.682,0.551,,0.496,0.0,0.0,0.001,0.0,47.459,20.604,,
Italy,1896,ITA,32524272.0,103617036288.0,,,11.424,-0.597,-4.968,41.799,0.394,0.952,1.285,0.403,,0.351,0.11,,11.12,0.342,,,,,206.675,1043.943,200.926,,0.0,1110.944,5.749,,,,,,0.0,0.0,0.615,1.481,30.375,0.934,19.894,0.612,3.823,0.118,0.304,0.009,,,,,0.74,0.722,0.749,,0.545,0.565,0.539,,0.0,0.733,0.981,,,0.0,0.716,0.578,,0.497,0.0,0.0,0.001,0.0,48.181,20.008,,
Italy,1897,ITA,32713362.0,104460320768.0,,,11.919,0.495,4.33,41.853,0.054,0.128,1.279,0.401,,0.364,0.114,,11.633,0.356,,,,,218.594,1085.795,212.559,,0.0,1140.878,6.035,,,,,,0.0,0.0,0.628,1.485,29.934,0.915,19.983,0.611,3.938,0.12,0.286,0.009,,,,,0.737,0.695,0.748,,0.553,0.569,0.548,,0.0,0.732,0.941,,,0.0,0.68,0.515,,0.497,0.0,0.0,0.001,0.0,48.589,20.535,,
Italy,1898,ITA,32903549.0,104681324544.0,,,12.403,0.484,4.058,42.552,0.699,1.67,1.293,0.406,,0.377,0.118,,12.124,0.368,,,,,230.997,1128.347,224.683,,0.0,1171.027,6.313,,,,,,0.0,0.0,0.64,1.508,30.149,0.916,20.07,0.61,4.03,0.122,0.278,0.008,,,,,0.727,0.702,0.739,,0.56,0.573,0.556,,0.0,0.731,0.904,,,0.0,0.692,0.487,,0.497,0.0,0.0,0.001,0.0,49.628,21.051,,
Italy,1899,ITA,33109815.0,106488659968.0,,,13.59,1.187,9.572,42.546,-0.006,-0.014,1.285,0.4,,0.41,0.128,,13.322,0.402,,,,,244.587,1170.892,238.006,,0.0,1199.983,6.581,,,,,,0.0,0.0,0.673,1.509,28.956,0.875,20.171,0.609,4.097,0.124,0.267,0.008,,,,,0.729,0.674,0.743,,0.567,0.576,0.564,,0.0,0.729,0.867,,,0.0,0.651,0.446,,0.497,0.0,0.0,0.001,0.0,49.961,22.284,,
Italy,1900,ITA,33332371.0,109905412096.0,,,13.909,0.319,2.346,42.568,0.022,0.052,1.277,0.387,,0.417,0.127,,13.637,0.409,,,,,258.495,1213.46,251.643,,0.0,1228.642,6.852,,,,,,0.0,0.0,0.679,1.5,28.659,0.86,20.251,0.608,4.136,0.124,0.271,0.008,,,,,0.709,0.658,0.724,,0.573,0.579,0.57,,0.0,0.726,0.83,,,0.0,0.636,0.403,,0.497,0.0,0.0,0.001,0.0,49.99,22.628,,
Italy,1901,ITA,33571430.0,112370008064.0,,,13.52,-0.388,-2.792,41.98,-0.588,-1.38,1.25,0.374,,0.403,0.12,,13.304,0.396,,,,,272.015,1255.441,264.947,,0.0,1257.102,7.068,,,,,,0.0,0.0,0.662,1.477,28.46,0.848,20.313,0.605,4.148,0.124,0.216,0.006,,,,,0.668,0.64,0.687,,0.577,0.58,0.575,,0.0,0.723,0.785,,,0.0,0.628,0.289,,0.496,0.0,0.0,0.001,0.0,49.598,22.241,,
Italy,1902,ITA,33827207.0,115173588992.0,,,15.015,1.495,11.057,45.628,3.647,8.688,1.349,0.396,,0.444,0.13,,14.792,0.437,,,,,287.03,1301.068,279.739,,0.004,1287.715,7.288,,,,,,0.004,0.0,0.703,1.576,30.613,0.905,20.427,0.604,4.137,0.122,0.22,0.006,,,,,0.724,0.681,0.747,,0.584,0.583,0.582,,0.002,0.722,0.742,,,0.027,0.662,0.272,,0.497,0.0,0.0,0.001,0.0,53.325,23.793,,
Italy,1903,ITA,34099919.0,117151268864.0,,,15.316,0.3,2.001,47.326,1.698,3.721,1.388,0.404,,0.449,0.131,,15.096,0.443,,,,,302.346,1348.394,294.834,,0.007,1319.725,7.504,,,,,,0.004,0.0,0.707,1.616,32.01,0.939,20.514,0.602,4.11,0.121,0.216,0.006,,,,,0.677,0.69,0.698,,0.588,0.587,0.587,,0.004,0.721,0.703,,,0.025,0.696,0.253,,0.497,0.0,0.0,0.001,0.0,55.105,24.125,,
